id,title,kind,headline,plain
claim_bacteria_station_memory_supported,Bacteria nowcast beats station-memory status quo,claim,AP 0.4992 vs 0.2782 · dAP +0.221,"On the EXCLUDE_SAN_DIEGO 2022+ deployable stratum, the calibrated bacteria model beats the station-memory baseline with a clustered-bootstrap AP margin whose CI excludes zero."
status_tide_range_data_gap,Harmonic tide-range claim card is blocked by source-data gaps,status,DATA-GAP,The current tide-range card is not promoted as a positive claim because the harmonic-range cache and beach-to-gauge map are not materialized.
claim_clean_to_dirty_onset,Clean-to-dirty beach surprise reframe passes retrospective gate,claim,AP 0.4177 vs station-memory 0.199,"Among currently-clean beach-days, the frozen statewide model predicts clean-to-dirty exceedance surprises far better than station memory."
claim_adaptive_sampling_pilot,Adaptive sampling replay beats site-memory sampling,positive,top-20 capture 0.7062 vs 0.5299,"Under the same sampling budget, model-ranked sampling catches more exceedances than station-memory ranking in retrospective replay."
status_bacteria_breakthrough_lockbox,"Bacteria breakthrough gate is retrospective-pass, prospective-blocked",status,PASS · BLOCKED_PROSPECTIVE_LOCKBOX,"The operational, onset, and spatial checks pass retrospectively, but the final breakthrough label is blocked by an empty prospective lockbox."
claim_catboost_champion_record_dont_ship,CatBoost has a real ranking edge over frozen HGBT,positive,"AP 0.5164 vs 0.5082 · CI [0.0041, 0.0193]",The CatBoost champion-upgrade candidate beats the frozen HGBT ranking metric with a clustered-bootstrap margin that excludes zero.
claim_lightgbm_catboost_paired_boosts,LightGBM and CatBoost both clear the paired HGBT test,positive,CatBoost +0.0132; LightGBM +0.0081,"Two independent tree learners beat frozen HGBT in paired AP tests, confirming the model ceiling is slightly above the old HGBT run."
claim_forward_2026_holdout_pass,Frozen bacteria model passes held-from-fitting 2026 season,positive,AP 0.6335 vs station-memory 0.3682,"On the locked 2026-01-05 to 2026-03-05 held-from-fitting season, the frozen model beats the strongest baseline and retains discrimination."
claim_bacteria_honest_forecast_horizon,Bacteria forecast horizon is honest to about 2 days,positive,skill over station-memory through lead 2d; lead 3d loses,"The corrected horizon claim compares against a multi-feature station-memory model, not the weak single-bit persistence baseline."
claim_bacteria_decision_rule,Deployable bacteria advisory rule catches most exceedances,operational,recall 0.8645 · precision 0.2301,"The calibrated decision rule turns the model into an advisory threshold chosen on validation, then read on the 2022+ test era."
claim_russian_river_advection_escape,Russian River upstream turbidity adds lead-2 skill,positive,dAP +0.0489 vs persistence,Upstream turbidity plus downstream persistence beats downstream persistence alone for the Guerneville intake turbidity event target.
